x,y,sigma
-0.04750000,-0.04750000,3.39067487e-09
-0.04750000,-0.04250000,2.38114235e-09
-0.04750000,-0.03750000,2.13678265e-09
-0.04750000,-0.03250000,2.00119711e-09
-0.04750000,-0.02750000,1.91564944e-09
-0.04750000,-0.02250000,1.85785693e-09
-0.04750000,-0.01750000,1.81800777e-09
-0.04750000,-0.01250000,1.79108301e-09
-0.04750000,-0.00750000,1.77433846e-09
-0.04750000,-0.00250000,1.76629373e-09
-0.04750000,0.00250000,1.76629373e-09
-0.04750000,0.00750000,1.77433846e-09
-0.04750000,0.01250000,1.79108301e-09
-0.04750000,0.01750000,1.81800777e-09
-0.04750000,0.02250000,1.85785693e-09
-0.04750000,0.02750000,1.91564944e-09
-0.04750000,0.03250000,2.00119711e-09
-0.04750000,0.03750000,2.13678265e-09
-0.04750000,0.04250000,2.38114235e-09
-0.04750000,0.04750000,3.39067487e-09
-0.04250000,-0.04750000,2.38114235e-09
-0.04250000,-0.04250000,1.38750888e-09
-0.04250000,-0.03750000,1.18982767e-09
-0.04250000,-0.03250000,1.09045244e-09
-0.04250000,-0.02750000,1.03175891e-09
-0.04250000,-0.02250000,9.93708243e-10
-0.04250000,-0.01750000,9.68168103e-10
-0.04250000,-0.01250000,9.51214381e-10
-0.04250000,-0.00750000,9.40788732e-10
-0.04250000,-0.00250000,9.35811102e-10
-0.04250000,0.00250000,9.35811102e-10
-0.04250000,0.00750000,9.40788732e-10
-0.04250000,0.01250000,9.51214381e-10
-0.04250000,0.01750000,9.68168103e-10
-0.04250000,0.02250000,9.93708243e-10
-0.04250000,0.02750000,1.03175891e-09
-0.04250000,0.03250000,1.09045244e-09
-0.04250000,0.03750000,1.18982767e-09
-0.04250000,0.04250000,1.38750888e-09
-0.04250000,0.04750000,2.38114235e-09
-0.03750000,-0.04750000,2.13678265e-09
-0.03750000,-0.04250000,1.18982767e-09
-0.03750000,-0.03750000,9.93095452e-10
-0.03750000,-0.03250000,8.95682594e-10
-0.03750000,-0.02750000,8.39389389e-10
-0.03750000,-0.02250000,8.03589944e-10
-0.03750000,-0.01750000,7.79914218e-10
-0.03750000,-0.01250000,7.64365395e-10
-0.03750000,-0.00750000,7.54872074e-10
-0.03750000,-0.00250000,7.50358221e-10
-0.03750000,0.00250000,7.50358221e-10
-0.03750000,0.00750000,7.54872074e-10
-0.03750000,0.01250000,7.64365395e-10
-0.03750000,0.01750000,7.79914218e-10
-0.03750000,0.02250000,8.03589944e-10
-0.03750000,0.02750000,8.39389389e-10
-0.03750000,0.03250000,8.95682594e-10
-0.03750000,0.03750000,9.93095452e-10
-0.03750000,0.04250000,1.18982767e-09
-0.03750000,0.04750000,2.13678265e-09
-0.03250000,-0.04750000,2.00119711e-09
-0.03250000,-0.04250000,1.09045244e-09
-0.03250000,-0.03750000,8.95682594e-10
-0.03250000,-0.03250000,7.98733292e-10
-0.03250000,-0.02750000,7.42859870e-10
-0.03250000,-0.02250000,7.07554597e-10
-0.03250000,-0.01750000,6.84362640e-10
-0.03250000,-0.01250000,6.69218237e-10
-0.03250000,-0.00750000,6.60010487e-10
-0.03250000,-0.00250000,6.55643475e-10
-0.03250000,0.00250000,6.55643475e-10
-0.03250000,0.00750000,6.60010487e-10
-0.03250000,0.01250000,6.69218237e-10
-0.03250000,0.01750000,6.84362640e-10
-0.03250000,0.02250000,7.07554597e-10
-0.03250000,0.02750000,7.42859870e-10
-0.03250000,0.03250000,7.98733292e-10
-0.03250000,0.03750000,8.95682594e-10
-0.03250000,0.04250000,1.09045244e-09
-0.03250000,0.04750000,2.00119711e-09
-0.02750000,-0.04750000,1.91564944e-09
-0.02750000,-0.04250000,1.03175891e-09
-0.02750000,-0.03750000,8.39389389e-10
-0.02750000,-0.03250000,7.42859870e-10
-0.02750000,-0.02750000,6.87027239e-10
-0.02750000,-0.02250000,6.51750168e-10
-0.02750000,-0.01750000,6.28617844e-10
-0.02750000,-0.01250000,6.13545680e-10
-0.02750000,-0.00750000,6.04399424e-10
-0.02750000,-0.00250000,6.00067054e-10
-0.02750000,0.00250000,6.00067054e-10
-0.02750000,0.00750000,6.04399424e-10
-0.02750000,0.01250000,6.13545680e-10
-0.02750000,0.01750000,6.28617844e-10
-0.02750000,0.02250000,6.51750168e-10
-0.02750000,0.02750000,6.87027239e-10
-0.02750000,0.03250000,7.42859870e-10
-0.02750000,0.03750000,8.39389389e-10
-0.02750000,0.04250000,1.03175891e-09
-0.02750000,0.04750000,1.91564944e-09
-0.02250000,-0.04750000,1.85785693e-09
-0.02250000,-0.04250000,9.93708243e-10
-0.02250000,-0.03750000,8.03589944e-10
-0.02250000,-0.03250000,7.07554597e-10
-0.02250000,-0.02750000,6.51750168e-10
-0.02250000,-0.02250000,6.16413136e-10
-0.02250000,-0.01750000,5.93227759e-10
-0.02250000,-0.01250000,5.78124786e-10
-0.02250000,-0.00750000,5.68964628e-10
-0.02250000,-0.00250000,5.64627581e-10
-0.02250000,0.00250000,5.64627581e-10
-0.02250000,0.00750000,5.68964628e-10
-0.02250000,0.01250000,5.78124786e-10
-0.02250000,0.01750000,5.93227759e-10
-0.02250000,0.02250000,6.16413136e-10
-0.02250000,0.02750000,6.51750168e-10
-0.02250000,0.03250000,7.07554597e-10
-0.02250000,0.03750000,8.03589944e-10
-0.02250000,0.04250000,9.93708243e-10
-0.02250000,0.04750000,1.85785693e-09
-0.01750000,-0.04750000,1.81800777e-09
-0.01750000,-0.04250000,9.68168103e-10
-0.01750000,-0.03750000,7.79914218e-10
-0.01750000,-0.03250000,6.84362640e-10
-0.01750000,-0.02750000,6.28617844e-10
-0.01750000,-0.02250000,5.93227759e-10
-0.01750000,-0.01750000,5.69974890e-10
-0.01750000,-0.01250000,5.54818575e-10
-0.01750000,-0.00750000,5.45624373e-10
-0.01750000,-0.00250000,5.41271170e-10
-0.01750000,0.00250000,5.41271170e-10
-0.01750000,0.00750000,5.45624373e-10
-0.01750000,0.01250000,5.54818575e-10
-0.01750000,0.01750000,5.69974890e-10
-0.01750000,0.02250000,5.93227759e-10
-0.01750000,0.02750000,6.28617844e-10
-0.01750000,0.03250000,6.84362640e-10
-0.01750000,0.03750000,7.79914218e-10
-0.01750000,0.04250000,9.68168103e-10
-0.01750000,0.04750000,1.81800777e-09
-0.01250000,-0.04750000,1.79108301e-09
-0.01250000,-0.04250000,9.51214381e-10
-0.01250000,-0.03750000,7.64365395e-10
-0.01250000,-0.03250000,6.69218237e-10
-0.01250000,-0.02750000,6.13545680e-10
-0.01250000,-0.02250000,5.78124786e-10
-0.01250000,-0.01750000,5.54818575e-10
-0.01250000,-0.01250000,5.39614864e-10
-0.01250000,-0.00750000,5.30387943e-10
-0.01250000,-0.00250000,5.26018421e-10
-0.01250000,0.00250000,5.26018421e-10
-0.01250000,0.00750000,5.30387943e-10
-0.01250000,0.01250000,5.39614864e-10
-0.01250000,0.01750000,5.54818575e-10
-0.01250000,0.02250000,5.78124786e-10
-0.01250000,0.02750000,6.13545680e-10
-0.01250000,0.03250000,6.69218237e-10
-0.01250000,0.03750000,7.64365395e-10
-0.01250000,0.04250000,9.51214381e-10
-0.01250000,0.04750000,1.79108301e-09
-0.00750000,-0.04750000,1.77433846e-09
-0.00750000,-0.04250000,9.40788732e-10
-0.00750000,-0.03750000,7.54872074e-10
-0.00750000,-0.03250000,6.60010487e-10
-0.00750000,-0.02750000,6.04399424e-10
-0.00750000,-0.02250000,5.68964628e-10
-0.00750000,-0.01750000,5.45624373e-10
-0.00750000,-0.01250000,5.30387943e-10
-0.00750000,-0.00750000,5.21137440e-10
-0.00750000,-0.00250000,5.16755864e-10
-0.00750000,0.00250000,5.16755864e-10
-0.00750000,0.00750000,5.21137440e-10
-0.00750000,0.01250000,5.30387943e-10
-0.00750000,0.01750000,5.45624373e-10
-0.00750000,0.02250000,5.68964628e-10
-0.00750000,0.02750000,6.04399424e-10
-0.00750000,0.03250000,6.60010487e-10
-0.00750000,0.03750000,7.54872074e-10
-0.00750000,0.04250000,9.40788732e-10
-0.00750000,0.04750000,1.77433846e-09
-0.00250000,-0.04750000,1.76629373e-09
-0.00250000,-0.04250000,9.35811102e-10
-0.00250000,-0.03750000,7.50358221e-10
-0.00250000,-0.03250000,6.55643475e-10
-0.00250000,-0.02750000,6.00067054e-10
-0.00250000,-0.02250000,5.64627581e-10
-0.00250000,-0.01750000,5.41271170e-10
-0.00250000,-0.01250000,5.26018421e-10
-0.00250000,-0.00750000,5.16755864e-10
-0.00250000,-0.00250000,5.12368047e-10
-0.00250000,0.00250000,5.12368047e-10
-0.00250000,0.00750000,5.16755864e-10
-0.00250000,0.01250000,5.26018421e-10
-0.00250000,0.01750000,5.41271170e-10
-0.00250000,0.02250000,5.64627581e-10
-0.00250000,0.02750000,6.00067054e-10
-0.00250000,0.03250000,6.55643475e-10
-0.00250000,0.03750000,7.50358221e-10
-0.00250000,0.04250000,9.35811102e-10
-0.00250000,0.04750000,1.76629373e-09
0.00250000,-0.04750000,1.76629373e-09
0.00250000,-0.04250000,9.35811102e-10
0.00250000,-0.03750000,7.50358221e-10
0.00250000,-0.03250000,6.55643475e-10
0.00250000,-0.02750000,6.00067054e-10
0.00250000,-0.02250000,5.64627581e-10
0.00250000,-0.01750000,5.41271170e-10
0.00250000,-0.01250000,5.26018421e-10
0.00250000,-0.00750000,5.16755864e-10
0.00250000,-0.00250000,5.12368047e-10
0.00250000,0.00250000,5.12368047e-10
0.00250000,0.00750000,5.16755864e-10
0.00250000,0.01250000,5.26018421e-10
0.00250000,0.01750000,5.41271170e-10
0.00250000,0.02250000,5.64627581e-10
0.00250000,0.02750000,6.00067054e-10
0.00250000,0.03250000,6.55643475e-10
0.00250000,0.03750000,7.50358221e-10
0.00250000,0.04250000,9.35811102e-10
0.00250000,0.04750000,1.76629373e-09
0.00750000,-0.04750000,1.77433846e-09
0.00750000,-0.04250000,9.40788732e-10
0.00750000,-0.03750000,7.54872074e-10
0.00750000,-0.03250000,6.60010487e-10
0.00750000,-0.02750000,6.04399424e-10
0.00750000,-0.02250000,5.68964628e-10
0.00750000,-0.01750000,5.45624373e-10
0.00750000,-0.01250000,5.30387943e-10
0.00750000,-0.00750000,5.21137440e-10
0.00750000,-0.00250000,5.16755864e-10
0.00750000,0.00250000,5.16755864e-10
0.00750000,0.00750000,5.21137440e-10
0.00750000,0.01250000,5.30387943e-10
0.00750000,0.01750000,5.45624373e-10
0.00750000,0.02250000,5.68964628e-10
0.00750000,0.02750000,6.04399424e-10
0.00750000,0.03250000,6.60010487e-10
0.00750000,0.03750000,7.54872074e-10
0.00750000,0.04250000,9.40788732e-10
0.00750000,0.04750000,1.77433846e-09
0.01250000,-0.04750000,1.79108301e-09
0.01250000,-0.04250000,9.51214381e-10
0.01250000,-0.03750000,7.64365395e-10
0.01250000,-0.03250000,6.69218237e-10
0.01250000,-0.02750000,6.13545680e-10
0.01250000,-0.02250000,5.78124786e-10
0.01250000,-0.01750000,5.54818575e-10
0.01250000,-0.01250000,5.39614864e-10
0.01250000,-0.00750000,5.30387943e-10
0.01250000,-0.00250000,5.26018421e-10
0.01250000,0.00250000,5.26018421e-10
0.01250000,0.00750000,5.30387943e-10
0.01250000,0.01250000,5.39614864e-10
0.01250000,0.01750000,5.54818575e-10
0.01250000,0.02250000,5.78124786e-10
0.01250000,0.02750000,6.13545680e-10
0.01250000,0.03250000,6.69218237e-10
0.01250000,0.03750000,7.64365395e-10
0.01250000,0.04250000,9.51214381e-10
0.01250000,0.04750000,1.79108301e-09
0.01750000,-0.04750000,1.81800777e-09
0.01750000,-0.04250000,9.68168103e-10
0.01750000,-0.03750000,7.79914218e-10
0.01750000,-0.03250000,6.84362640e-10
0.01750000,-0.02750000,6.28617844e-10
0.01750000,-0.02250000,5.93227759e-10
0.01750000,-0.01750000,5.69974890e-10
0.01750000,-0.01250000,5.54818575e-10
0.01750000,-0.00750000,5.45624373e-10
0.01750000,-0.00250000,5.41271170e-10
0.01750000,0.00250000,5.41271170e-10
0.01750000,0.00750000,5.45624373e-10
0.01750000,0.01250000,5.54818575e-10
0.01750000,0.01750000,5.69974890e-10
0.01750000,0.02250000,5.93227759e-10
0.01750000,0.02750000,6.28617844e-10
0.01750000,0.03250000,6.84362640e-10
0.01750000,0.03750000,7.79914218e-10
