x,y,z,V,Ex,Ey,Ez,E_mag
-0.150000,-0.150000,-0.100000,3.76405824e-02,-1.02462102e-01,-1.02462102e-01,-7.26980834e-02,1.62117167e-01
-0.150000,-0.150000,-0.090000,3.83523231e-02,-1.08560194e-01,-1.08560194e-01,-6.95010544e-02,1.68526045e-01
-0.150000,-0.150000,-0.080000,3.90275064e-02,-1.14592746e-01,-1.14592746e-01,-6.53755140e-02,1.74748256e-01
-0.150000,-0.150000,-0.070000,3.96565506e-02,-1.20438613e-01,-1.20438613e-01,-6.02660706e-02,1.80673513e-01
-0.150000,-0.150000,-0.060000,4.02294526e-02,-1.25959223e-01,-1.25959223e-01,-5.41453044e-02,1.86180465e-01
-0.150000,-0.150000,-0.050000,4.07361123e-02,-1.31003131e-01,-1.31003131e-01,-4.70227195e-02,1.91140725e-01
-0.150000,-0.150000,-0.040000,4.11667428e-02,-1.35413269e-01,-1.35413269e-01,-3.89525609e-02,1.95424689e-01
-0.150000,-0.150000,-0.030000,4.15123461e-02,-1.39036761e-01,-1.39036761e-01,-3.00388968e-02,1.98908967e-01
-0.150000,-0.150000,-0.020000,4.17652192e-02,-1.41736567e-01,-1.41736567e-01,-2.04363224e-02,2.01484869e-01
-0.150000,-0.150000,-0.010000,4.19194396e-02,-1.43403588e-01,-1.43403588e-01,-1.03450427e-02,2.03066980e-01
-0.150000,-0.150000,0.000000,1.67885088e-01,-5.75869535e-01,-5.75869535e-01,-6.29569081e+04,6.29569081e+04
-0.150000,-0.150000,0.010000,1.67677759e-01,-5.73614353e-01,-5.73614353e-01,4.13801710e-02,8.12267918e-01
-0.150000,-0.150000,0.020000,1.67060877e-01,-5.66946269e-01,-5.66946269e-01,8.17452898e-02,8.05939474e-01
-0.150000,-0.150000,0.030000,1.66049385e-01,-5.56147044e-01,-5.56147044e-01,1.20155587e-01,7.95635869e-01
-0.150000,-0.150000,0.040000,1.64666971e-01,-5.41653077e-01,-5.41653077e-01,1.55810243e-01,7.81698754e-01
-0.150000,-0.150000,0.050000,1.62944449e-01,-5.24012524e-01,-5.24012524e-01,1.88090878e-01,7.64562900e-01
-0.150000,-0.150000,0.060000,1.60917810e-01,-5.03836892e-01,-5.03836892e-01,2.16581217e-01,7.44721861e-01
-0.150000,-0.150000,0.070000,1.58626202e-01,-4.81754452e-01,-4.81754452e-01,2.41064282e-01,7.22694052e-01
-0.150000,-0.150000,0.080000,1.56110026e-01,-4.58370986e-01,-4.58370986e-01,2.61502056e-01,6.98993023e-01
-0.150000,-0.150000,0.090000,1.53409292e-01,-4.34240774e-01,-4.34240774e-01,2.78004217e-01,6.74104180e-01
-0.150000,-0.150000,0.100000,1.50562330e-01,-4.09848407e-01,-4.09848407e-01,2.90792334e-01,6.48468669e-01
-0.150000,-0.140000,-0.100000,3.86710787e-02,-1.10983401e-01,-1.03529861e-01,-7.90044538e-02,1.71106549e-01
-0.150000,-0.140000,-0.090000,3.94460136e-02,-1.17999794e-01,-1.10067791e-01,-7.58160078e-02,1.78288915e-01
-0.150000,-0.140000,-0.080000,4.01839143e-02,-1.24986881e-01,-1.16577163e-01,-7.15828663e-02,1.85299925e-01
-0.150000,-0.140000,-0.070000,4.08739299e-02,-1.31802314e-01,-1.22925362e-01,-6.62284516e-02,1.92012246e-01
-0.150000,-0.140000,-0.060000,4.15045896e-02,-1.38279632e-01,-1.28957433e-01,-5.97073434e-02,1.98283239e-01
-0.150000,-0.140000,-0.050000,4.20641739e-02,-1.44233241e-01,-1.34500733e-01,-5.20171780e-02,2.03959461e-01
-0.150000,-0.140000,-0.040000,4.25412016e-02,-1.49467188e-01,-1.39373105e-01,-4.32096227e-02,2.08883638e-01
-0.150000,-0.140000,-0.030000,4.29250130e-02,-1.53787743e-01,-1.43394561e-01,-3.33982300e-02,2.12903997e-01
-0.150000,-0.140000,-0.020000,4.32064059e-02,-1.57018950e-01,-1.46401705e-01,-2.27607505e-02,2.15885297e-01
-0.150000,-0.140000,-0.010000,4.33782583e-02,-1.59019279e-01,-1.48263163e-01,-1.15339244e-02,2.17720298e-01
-0.150000,-0.140000,0.000000,1.73744232e-01,-6.38786820e-01,-5.95574119e-01,-6.51540868e+04,6.51540868e+04
-0.150000,-0.140000,0.010000,1.73513033e-01,-6.36077117e-01,-5.93052651e-01,4.61356974e-02,8.70881191e-01
-0.150000,-0.140000,0.020000,1.72825623e-01,-6.28075798e-01,-5.85606822e-01,9.10430019e-02,8.63541190e-01
-0.150000,-0.140000,0.030000,1.71700052e-01,-6.15150972e-01,-5.73578245e-01,1.33592920e-01,8.51615987e-01
-0.150000,-0.140000,0.040000,1.70164806e-01,-5.97868752e-01,-5.57492421e-01,1.72838491e-01,8.35534552e-01
-0.150000,-0.140000,0.050000,1.68256695e-01,-5.76932964e-01,-5.38002933e-01,2.08068712e-01,8.15837845e-01
-0.150000,-0.140000,0.060000,1.66018358e-01,-5.53118527e-01,-5.15829731e-01,2.38829374e-01,7.93132956e-01
-0.150000,-0.140000,0.070000,1.63495720e-01,-5.27209257e-01,-4.91701449e-01,2.64913807e-01,7.68048984e-01
-0.150000,-0.140000,0.080000,1.60735657e-01,-4.99947525e-01,-4.66308651e-01,2.86331465e-01,7.41199699e-01
-0.150000,-0.140000,0.090000,1.57784054e-01,-4.71999178e-01,-4.40271165e-01,3.03264031e-01,7.13155660e-01
-0.150000,-0.140000,0.100000,1.54684315e-01,-4.43933603e-01,-4.14119446e-01,3.16017815e-01,6.84426197e-01
-0.150000,-0.130000,-0.100000,3.97087982e-02,-1.20007545e-01,-1.03882835e-01,-8.57161491e-02,1.80390445e-01
-0.150000,-0.130000,-0.090000,4.05512087e-02,-1.28057644e-01,-1.10833824e-01,-8.25808652e-02,1.88421061e-01
-0.150000,-0.130000,-0.080000,4.13565152e-02,-1.36129704e-01,-1.17800565e-01,-7.82761439e-02,1.96304417e-01
-0.150000,-0.130000,-0.070000,4.21124870e-02,-1.44057993e-01,-1.24639949e-01,-7.26991554e-02,2.03894555e-01
-0.150000,-0.130000,-0.060000,4.28060224e-02,-1.51643976e-01,-1.31180880e-01,-6.57810586e-02,2.11024800e-01
-0.150000,-0.130000,-0.050000,4.34235663e-02,-1.58661460e-01,-1.37228779e-01,-5.75025747e-02,2.17512626e-01
-0.150000,-0.130000,-0.040000,4.39516821e-02,-1.64866953e-01,-1.42574526e-01,-4.79091222e-02,2.23167856e-01
-0.150000,-0.130000,-0.030000,4.43777625e-02,-1.70015602e-01,-1.47008135e-01,-3.71225596e-02,2.27804260e-01
-0.150000,-0.130000,-0.020000,4.46908248e-02,-1.73881809e-01,-1.50336364e-01,-2.53460406e-02,2.31253816e-01
-0.150000,-0.130000,-0.010000,4.48823078e-02,-1.76282068e-01,-1.52402174e-01,-1.28588843e-02,2.33381964e-01
-0.150000,-0.130000,0.000000,1.79787039e-01,-7.08384503e-01,-6.12410884e-01,-6.74201396e+04,6.74201396e+04
-0.150000,-0.130000,0.010000,1.79529231e-01,-7.05128274e-01,-6.09608694e-01,5.14355374e-02,9.33527856e-01
